match_id,date,home_team_id,away_team_id,league_id,league_name,home_team_name,away_team_name,CTMCL,avg_goals_market,team_a_xg_prematch,team_b_xg_prematch,pre_match_home_ppg,pre_match_away_ppg,home_xg_avg,away_xg_avg,home_xg_momentum,away_xg_momentum,home_goals_conceded_avg,away_goals_conceded_avg,o25_potential,o35_potential,home_shots_accuracy_avg,away_shots_accuracy_avg,home_dangerous_attacks_avg,away_dangerous_attacks_avg,h2h_total_goals_avg,home_form_points,away_form_points,home_elo,away_elo,elo_diff,league_avg_goals,odds_ft_1_prob,odds_ft_2_prob,btts_potential,o05_potential,o15_potential,o45_potential,odds_ft_over25,odds_ft_under25,odds_ft_1,odds_ft_x,odds_ft_2
8193754,2025-11-07,166,4866,15717,0,CD Feirense,Farense,2.4651162790697674,1.88,1.88,1.58,0.0,3.0,1.7,1.54,0,0,2.0,0.5,38,13,0.2413793103448276,0.5,74.5,35.5,0,0.0,15.0,1500,1500,0,2.57,0.3252639436920123,0.3708008958088941,50,100,100,13,2.15,1.62,2.85,3.05,2.5
8007528,2025-11-07,375,389,14936,0,Twente,Telstar,2.684931506849315,2.1,2.13,1.32,1.5,1.0,2.27,1.63,0,0,2.0,1.0,50,30,0.3333333333333333,0.42857142857142855,62.5,45.67,0,7.5,5.0,1500,1500,0,3.43,0.6997185838863218,0.1233714345273251,50,100,90,20,1.46,2.6,1.34,5.3,7.6
8227745,2025-11-07,37,43,14968,0,Werder Bremen,Wolfsburg,2.6578947368421053,2.5,1.5,1.13,3.0,1.5,1.54,1.06,0,0,0.0,1.5,50,38,0.25806451612903225,0.3,38.0,29.5,0,15.0,7.5,1500,1500,0,3.17,0.4345952915371099,0.3135502942297941,38,100,50,13,1.52,2.43,2.15,3.71,2.98
8206615,2025-11-07,494,442,14932,0,Paris,Rennes,2.564971751412429,2.3,1.71,1.14,1.33,1.0,1.3,1.18,0,0,1.67,2.0,80,70,0.2287917737789203,0.4,51.33,36.0,0,6.65,5.0,1500,1500,0,2.93,0.4186499117000444,0.3241629524621871,80,100,100,30,1.77,1.98,2.23,3.63,2.88
8238680,2025-11-07,507,1046,15068,0,Pisa,Cremonese,2.4347826086956523,2.3,0.96,0.78,1.0,1.5,0.86,0.82,0,0,0.0,2.0,20,10,0.11764705882352941,0.42857142857142855,34.0,22.0,0,5.0,7.5,1500,1500,0,2.26,0.4190359067298824,0.2814608650625415,30,60,40,10,2.3,1.62,2.23,3.12,3.32
8200532,2025-11-07,295,290,14956,0,Elche CF,Real Sociedad,2.467289719626168,2.1,1.61,1.5,1.0,2.0,1.63,2.06,0,0,0.0,0.5,30,10,0.3333333333333333,0.4,47.0,64.0,0,5.0,10.0,1500,1500,0,2.66,0.3516540765824433,0.3412346965355561,60,90,70,0,2.14,1.74,2.62,3.0,2.7
8342728,2025-11-08,711351,2,13973,0,Charlotte,New York City,2.5405405405405403,2.32,1.22,1.41,1.0,2.0,1.14,1.38,0,0,1.67,1.0,53,31,0.41625,0.46860356138706655,55.0,48.0,0,5.0,10.0,1500,1500,0,3.0,0.3853645350940306,0.3387367977516924,47,95,71,17,1.85,1.92,2.47,3.45,2.81
8342728,2025-11-08,711351,2,13973,0,Charlotte,New York City,2.5405405405405403,2.32,1.22,1.41,1.0,2.0,1.14,1.38,0,0,1.67,1.0,53,31,0.41625,0.46860356138706655,55.0,48.0,0,5.0,10.0,1500,1500,0,3.0,0.3853645350940306,0.3387367977516924,47,95,71,17,1.85,1.92,2.47,3.45,2.81
8282925,2025-11-08,1444,1427,15234,0,Juárez,Querétaro,2.561797752808989,2.24,1.34,0.98,1.0,0.0,1.63,1.43,0,0,3.0,3.5,53,41,0.36363636363636365,0.37037037037037035,24.0,32.0,0,5.0,0.0,1500,1500,0,3.1,0.566030925128636,0.1902827365326052,57,100,79,16,1.78,1.92,1.58,3.67,4.7
8282929,2025-11-08,686211,1428,15234,0,Mazatlán,Necaxa,2.606060606060606,2.32,1.12,1.66,1.67,1.5,1.22,1.56,0,0,1.67,4.0,60,47,0.2727272727272727,0.42857142857142855,43.33,33.5,0,8.35,7.5,1500,1500,0,3.1,0.2971844232943024,0.4413630048925284,69,97,78,19,1.65,2.2,3.0,3.41,2.02
8282946,2025-11-08,1418,1421,15234,0,Tijuana,Atlas,2.632911392405063,2.2199999999999998,1.25,1.09,1.0,0.0,0.88,0.91,0,0,1.0,3.0,57,50,0.35714285714285715,0.3333333333333333,35.5,17.0,0,5.0,0.0,1500,1500,0,3.1,0.5680471801747684,0.202689562016906,57,94,85,32,1.58,2.29,1.57,3.89,4.4
8193749,2025-11-08,182,1029,15717,0,FC Penafiel,Sporting CP II,2.4878048780487805,2.25,1.14,1.38,2.0,1.5,0.99,1.11,0,0,0.0,1.0,25,13,0.6666666666666666,0.5,44.0,31.5,0,10.0,7.5,1500,1500,0,2.57,0.2940269353346355,0.42099311195641,13,75,50,0,2.05,1.68,3.15,3.25,2.2
8223751,2025-11-08,92,149,15050,0,Tottenham Hotspur,Manchester United,2.625,2.3,1.15,1.45,1.5,1.33,1.13,1.58,0,0,0.5,2.0,60,20,0.4117647058823529,0.38650306748466257,47.0,34.67,0,7.5,6.65,1500,1500,0,2.68,0.3460062783397279,0.3836763167073596,60,100,80,0,1.6,2.18,2.75,3.52,2.48
8200535,2025-11-08,312,277,14956,0,Girona FC,Deportivo Alavés,2.4347826086956523,2.32,1.2,1.16,2.0,1.5,1.1,2.11,0,0,2.0,0.5,34,25,0.8333333333333334,0.4166666666666667,49.5,62.5,0,10.0,7.5,1500,1500,0,2.66,0.392156862745098,0.3137254901960784,35,92,52,9,2.3,1.62,2.4,3.2,3.0
8193876,2025-11-08,1025,1038,15717,0,Portimonense,UD Oliveirense,2.555555555555556,2.3,1.82,1.2,0.33,0.67,1.29,1.05,0,0,1.33,1.33,33,13,0.433,0.29666666666666663,49.67,40.0,0,1.6500000000000001,3.35,1500,1500,0,2.57,0.5088289962825279,0.237453531598513,53,75,53,13,1.8,1.9,1.82,3.65,3.9
8238529,2025-11-08,2330,473,15068,0,Lecce,Hellas Verona,2.403225806451613,2.2,1.1,1.34,0.5,0.5,1.02,1.6,0,0,0.5,1.5,40,30,0.2222222222222222,0.42857142857142855,42.0,40.0,0,2.5,2.5,1500,1500,0,2.26,0.3474494828688396,0.3222893479024754,40,80,70,0,2.48,1.47,2.69,2.83,2.9
8238687,2025-11-08,518,455,15068,0,Como,Cagliari,2.53475935828877,1.9,1.59,1.15,3.0,0.67,1.54,1.09,0,0,0.5,1.67,30,20,0.4074074074074074,0.31208997188378634,40.5,24.67,0,15.0,3.35,1500,1500,0,2.26,0.6190202592990433,0.1584272189053483,60,100,90,0,1.87,1.87,1.51,4.2,5.9
8227660,2025-11-08,36,33,14968,0,Hamburger SV,Borussia Dortmund,2.684931506849315,2.17,1.86,1.28,1.5,1.75,2.22,1.23,0,0,0.5,1.75,45,23,0.35714285714285715,0.3333333333333333,51.5,51.25,0,7.5,8.75,1500,1500,0,3.17,0.2333333333333333,0.5333333333333333,33,100,78,10,1.46,2.6,4.0,4.0,1.75
8227661,2025-11-08,49,46,14968,0,Hoffenheim,RB Leipzig,2.72992700729927,2.4,1.68,1.57,1.5,2.33,1.73,1.68,0,0,1.0,0.67,58,58,0.3793103448275862,0.422,58.0,39.67,0,7.5,11.65,1500,1500,0,3.17,0.3567283891085607,0.3927009997749702,48,100,68,33,1.37,2.94,2.62,3.73,2.38
